"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1700049G17Rik",0.00595528653714732,0.0280898876404494,0.0178082191780822,0.00884955752212389,0,0.0177514792899408,0.0206552706552707,0.0337837837837838,0.02,0.00995024875621891,0.0170940170940171
"1700051O22Rik",0.000390510592599824,0.00561797752808989,0,0.00884955752212389,0,0,0,0,0,0,0
"1700052K11Rik",0.00702919066679684,0.0168539325842697,0.0178082191780822,0.00884955752212389,0,0.0236686390532544,0.0170940170940171,0,0,0.0199004975124378,0.0256410256410256
"1700054M17Rik",0.000585765888899736,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700055D18Rik",0.000390510592599824,0,0.00136986301369863,0,0,0,0.00284900284900285,0,0.02,0,0
"1700056E22Rik",0.000292882944449868,0,0.00410958904109589,0.00884955752212389,0,0.00591715976331361,0.0113960113960114,0.00675675675675676,0.02,0,0.00854700854700855
"1700056N10Rik",0.00117153177779947,0,0.00273972602739726,0,0,0,0.00284900284900285,0,0,0.00497512437810945,0
"1700063D05Rik",0.00048813824074978,0,0,0,0,0.159763313609467,0.000712250712250712,0,0,0,0
"1700066B19Rik",0.000585765888899736,0,0,0.00884955752212389,0,0,0.000712250712250712,0,0,0,0
"1700066M21Rik",0.00712681831494679,0.0112359550561798,0.0123287671232877,0.0265486725663717,0,0.0710059171597633,0.0491452991452991,0.0540540540540541,0,0.00497512437810945,0.0341880341880342
"1700069L16Rik",0.00048813824074978,0,0,0,0,0,0,0,0,0,0
"1700071M16Rik",9.76276481499561e-05,0,0,0,0,0,0.0562678062678063,0.0202702702702703,0.02,0,0
"1700084C01Rik",0.000195255296299912,0,0.00136986301369863,0,0,0,0.356837606837607,0.114864864864865,0.16,0,0
"1700084C06Rik",0.00126915942594943,0,0.00136986301369863,0.00884955752212389,0,0,0.00142450142450142,0,0,0,0
"1700084E18Rik",0.000781021185199648,0,0,0,0,0,0.0056980056980057,0,0.02,0.00995024875621891,0.0170940170940171
"1700086L19Rik",0.00195255296299912,0,0,0.00884955752212389,0,0.0118343195266272,0,0,0,0,0
"1700086O06Rik",0.0055647759445475,0,0.00684931506849315,0.0176991150442478,0.03125,0.00591715976331361,0.0178062678062678,0.0202702702702703,0.06,0,0.0427350427350427
"1700086P04Rik",9.76276481499561e-05,0,0.00273972602739726,0,0,0,0.00498575498575499,0,0,0,0.0170940170940171
"1700088E04Rik",0.00107390412964952,0.0112359550561798,0.00410958904109589,0.0530973451327434,0,0.0118343195266272,0.0505698005698006,0.0405405405405405,0.98,0,0
"1700093K21Rik",0.00048813824074978,0,0.00136986301369863,0,0,0.00591715976331361,0.000712250712250712,0,0,0,0
"1700094J05Rik",0.000195255296299912,0,0,0,0,0,0,0,0,0,0
"1700096K18Rik",0.00175729766669921,0.0224719101123595,0.00547945205479452,0,0.015625,0.0769230769230769,0.0498575498575499,0.027027027027027,0.02,0.00995024875621891,0.0256410256410256
"1700101E01Rik",0,0,0,0.0176991150442478,0,0,0,0,0.56,0,0
"1700101I11Rik",0.00283120179634873,0,0.00136986301369863,0.0353982300884956,0,0.0118343195266272,0.00641025641025641,0,0.04,0.0149253731343284,0
"1700102P08Rik",0.000781021185199648,0,0.00273972602739726,0,0,0,0,0,0,0.00497512437810945,0.00854700854700855
"1700105P06Rik",0.00048813824074978,0,0,0,0,0.00591715976331361,0.00142450142450142,0,0,0,0.00854700854700855
"1700109H08Rik",0.00292882944449868,0.00561797752808989,0.00410958904109589,0,0,0,0.000712250712250712,0,0,0,0
"1700110K17Rik",0.00048813824074978,0,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1700112D23Rik",0.000390510592599824,0.00561797752808989,0.00273972602739726,0.00884955752212389,0,0.00591715976331361,0.000712250712250712,0,0,0,0
"1700112J16Rik",0.000195255296299912,0,0,0.0265486725663717,0,0,0.00284900284900285,0,0,0,0.00854700854700855
"1700113A16Rik",0.00419798887044811,0.0112359550561798,0.00547945205479452,0.0176991150442478,0,0.0177514792899408,0.0534188034188034,0.0135135135135135,0.02,0.00497512437810945,0
"1700120C14Rik",0.00322171238894855,0.00561797752808989,0.00273972602739726,0.00884955752212389,0,0,0.00997150997150997,0.0202702702702703,0,0.00497512437810945,0.0256410256410256
"1700123M08Rik",0.00195255296299912,0.00561797752808989,0.00410958904109589,0.0176991150442478,0,0.0177514792899408,0.0113960113960114,0,0.02,0,0
"1700123O20Rik",0.0750756614273162,0.112359550561798,0.0342465753424658,0.141592920353982,0.03125,0.183431952662722,0.138176638176638,0.0878378378378378,0.18,0.144278606965174,0.102564102564103
"1700124L16Rik",0.00468612711119789,0.0786516853932584,0.010958904109589,0.00884955752212389,0,0,0.000712250712250712,0,0,0,0
"1810009A15Rik",0.000781021185199648,0,0,0,0,0,0.00213675213675214,0,0,0.00497512437810945,0
"1810010H24Rik",0.008884115981646,0.00561797752808989,0.00958904109589041,0.0619469026548673,0,0.0118343195266272,0.0306267806267806,0.00675675675675676,0.02,0,0.0170940170940171
"1810011O10Rik",0,0,0,0,0.015625,0,0,0,0,0.0298507462686567,0.0341880341880342
"1810012K08Rik",0.000195255296299912,0,0.00136986301369863,0.00884955752212389,0,0.00591715976331361,0.000712250712250712,0,0,0.00497512437810945,0
"1810013L24Rik",0.0344625597969345,0.202247191011236,0.0876712328767123,0.176991150442478,0,0.0710059171597633,0.0897435897435897,0.0608108108108108,0.08,0.0597014925373134,0.0683760683760684
"1810014B01Rik",0.00907937127794591,0.0898876404494382,0.0246575342465753,0.0619469026548673,0,0.0414201183431953,0.0769230769230769,0.0202702702702703,0.06,0.0149253731343284,0.0170940170940171
"1810021B22Rik",0.00146441472224934,0,0.00136986301369863,0,0.015625,0.00591715976331361,0.0106837606837607,0,0,0,0.00854700854700855
"1810022K09Rik",0.0616030459826223,0.157303370786517,0.104109589041096,0.398230088495575,0.078125,0.224852071005917,0.188746438746439,0.0810810810810811,0.18,0.169154228855721,0.188034188034188
